type,steps,infected,healthy,asymptomatic,mild,critical,deceased,vaccinated,forced_quarantine,violation,isolation,robustness,stay_home,voluntarily_stay_home_infected,self_directed_emotion,other_directed_emotion,desire_satisfaction,total_number_infections,reward
hint_prob,30,1.7,96.65,0.05,1.65,0.0,1.65,14.9,0.0,0.0,1.0,1.0,47.95,0.4875444839857651,-0.328,0.013,0.321,1.1115,-0.6435
hint_prob,31,1.4,96.95,0.0,1.35,0.05,1.65,15.05,0.0,0.0,1.0,1.0,49.4,0.5022877478393492,-0.3245,0.0115,0.3235,1.1115,-0.638
hint_prob,32,1.25,97.1,0.0,1.15,0.1,1.65,15.1,0.0,0.04,0.96,0.96,46.3,0.47076766649720386,-0.321,0.009,0.3265,1.1115,-0.6335
hint_prob,33,1.1,97.25,0.0,1.0,0.1,1.65,15.1,0.0,0.0,1.0,1.0,50.3,0.5114387391967463,-0.295,0.01,0.341,1.1115,-0.5765
hint_prob,34,0.65,97.65,0.0,0.6,0.05,1.7,15.1,0.0,0.0,1.0,1.0,47.6,0.48423194303153605,-0.2975,0.006,0.34,1.1115,-0.59
hint_prob,35,1.65,96.65,1.1,0.5,0.05,1.7,15.1,0.0,0.6969696969696969,0.30303030303030304,0.30303030303030304,48.25,0.4908443540183112,-0.358,0.004,0.3105,1.1225,-0.712
hint_prob,36,1.15,97.15,0.3,0.8,0.05,1.7,15.1,0.0,0.0,1.0,1.0,48.25,0.4908443540183112,-0.338,0.007,0.3175,1.1225,-0.672
hint_prob,37,0.9,97.4,0.1,0.8,0.0,1.7,15.2,0.0,0.0,1.0,1.0,49.15,0.49999999999999994,-0.353,0.0075,0.3105,1.1225,-0.7
hint_prob,38,0.55,97.75,0.0,0.55,0.0,1.7,15.2,0.0,0.0,1.0,1.0,45.6,0.4638860630722279,-0.3065,0.0045,0.3355,1.1225,-0.6095
hint_prob,39,0.35,97.95,0.0,0.35,0.0,1.7,15.25,0.0,0.0,1.0,1.0,49.1,0.4994913530010173,-0.336,0.0035,0.3215,1.1225,-0.669
hint_prob,40,0.25,98.05,0.0,0.25,0.0,1.7,15.3,0.0,0.0,1.0,1.0,47.0,0.47812817904374366,-0.316,0.0025,0.3325,1.1225,-0.629
hint_prob,41,0.15,98.15,0.0,0.15,0.0,1.7,15.3,0.0,0.0,1.0,1.0,49.25,0.5010172939979654,-0.397,0.0015,0.292,1.1225,-0.793
hint_prob,42,0.05,98.25,0.0,0.05,0.0,1.7,15.3,0.0,0.0,1.0,1.0,47.5,0.4832146490335707,-0.378,0.0,0.302,1.1225,-0.757
hint_prob,43,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,48.7,0.4954221770091557,-0.3525,0.0,0.315,1.1225,-0.7055
hint_prob,44,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,47.05,0.47863682604272634,-0.327,0.0,0.328,1.1225,-0.654
hint_prob,45,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,47.0,0.47812817904374366,-0.319,0.0,0.332,1.1225,-0.638
hint_prob,46,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,47.1,0.47914547304170907,-0.311,0.0,0.336,1.1225,-0.622
hint_prob,47,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,45.5,0.4628687690742625,-0.327,0.0,0.328,1.1225,-0.654
hint_prob,48,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,48.05,0.48880976602238047,-0.331,0.0,0.326,1.1225,-0.662
hint_prob,49,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,48.85,0.4969481180061038,-0.342,0.0,0.3205,1.1225,-0.684
hint_prob,50,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,48.9,0.49745676500508645,-0.314,0.0,0.3345,1.1225,-0.628
hint_prob,51,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,48.25,0.4908443540183113,-0.324,0.0,0.3295,1.1225,-0.648
hint_prob,52,0.0,98.3,0.0,0.0,0.0,1.7,15.3,0.0,0,1,1,46.2,0.4699898270600204,-0.358,0.0,0.3125,1.1225,-0.716
